1934, 3,25,.429,   11568,01, 0,    3,    7,    2,    4, 0.418, 151.7, 266.2, -28.2, -13.0
1934, 3,26,.601,   11568,01, 0,    3,    9,    2,    5, 0.359, 186.9, 266.5, -27.6,   2.8
1934, 3,27,.434,   11569,05, 0,    3,   12,    6,   21, 0.950,  56.2, 188.0,  29.2, -64.7
1934, 3,28,.445,   11569,05, 0,    1,    8,    2,    9, 0.877,  51.6, 187.6,  29.0, -51.8
1934, 3,29,.348,   11570,02, 9,    3,    9,    2,    5, 0.359, 207.7, 238.1, -25.0,  10.6
1934, 3,30,.415,   11570,02, 9,    1,   10,    1,    6, 0.506, 230.3, 238.8, -24.8,  25.4
1934, 4, 1,.393,   11571,02, 4,    3,   16,    2,   10, 0.546, 359.0, 187.9,  26.7,   0.6
1934, 4, 2,.336,   11571,02, 4,   21,  117,   13,   73, 0.584, 341.8, 186.8,  27.5,  11.9
1934, 4, 3,.443,   11571,02, 4,   26,  143,   18,   97, 0.671, 325.3, 185.9,  27.8,  25.6
1934, 4, 4,.440,   11571,02, 4,    8,   27,    7,   23, 0.796, 311.2, 189.4,  27.1,  42.3
1934, 4, 5,.383,   11571,02, 4,    3,   10,    4,   12, 0.887, 305.0, 189.4,  27.1,  54.7
1934, 4, 8,.450,  107701,00, 0,    3,    9,    2,    5, 0.433, 154.3,  81.8, -28.8, -12.4
1934, 4,14,.354,   11572,01, 0,    4,   14,    7,   26, 0.957,  60.2, 308.3,  26.4, -68.0
1934, 4,15,.380,   11572,01, 1,    5,   22,    6,   25, 0.888,  56.3, 307.0,  26.6, -55.7
1934, 4,15,.380,   11573,02, 6,   51,  335,  161, 1044, 0.986, 118.3, 280.7, -28.8, -82.0
1934, 4,16,.412,   11572,01, 1,    8,   25,    7,   21, 0.788,  49.8, 306.8,  26.7, -42.3
1934, 4,16,.412,   11573,02, 6,   92,  810,  133, 1169, 0.937, 118.9, 279.6, -28.9, -69.5
1934, 4,17,.526,   11572,01, 0,    4,   13,    3,    9, 0.656,  37.7, 307.7,  26.6, -26.7
1934, 4,17,.526,   11573,02, 6,  173, 1082,  166, 1034, 0.851, 121.1, 277.9, -29.1, -56.5
1934, 4,18,.521,   11572,01, 0,    1,    6,    1,    4, 0.569,  22.6, 307.0,  26.7, -14.2
1934, 4,18,.521,   11573,02, 6,  214, 1185,  160,  886, 0.741, 125.4, 277.4, -29.2, -43.8
1934, 4,19,.426,   11573,02, 6,  230, 1160,  147,  741, 0.621, 132.2, 277.6, -29.0, -31.7
1934, 4,20,.431,   11573,02, 6,  189, 1223,  109,  705, 0.497, 145.2, 277.1, -28.8, -18.9
1934, 4,21,.375,   11573,02, 6,  239, 1303,  132,  717, 0.419, 166.3, 277.0, -28.9,  -6.5
1934, 4,22,.436,   11573,02, 6,  217, 1200,  120,  662, 0.423, 197.0, 277.6, -28.6,   8.1
1934, 4,23,.349,   11573,02, 6,  182, 1011,  106,  587, 0.509, 215.9, 277.4, -28.8,  19.9
1934, 4,24,.419,   11573,02, 6,  171,  802,  113,  530, 0.652, 230.0, 278.0, -28.6,  34.7
1934, 4,24,.419,  107801,00, 0,    1,    6,    5,   17, 0.979, 245.4, 322.6, -25.0,  79.3
1934, 4,25,.342,   11573,02, 5,  126,  733,   99,  576, 0.770, 236.2, 277.8, -28.5,  46.7
1934, 4,26,.389,   11573,02, 5,   93,  534,   99,  565, 0.880, 239.6, 277.2, -28.7,  59.9
1934, 4,27,.403,   11573,02, 5,   56,  309,   96,  528, 0.955, 241.3, 276.6, -28.7,  72.7
1934, 4,27,.403,   11574,02, 4,   19,   55,   12,   35, 0.607, 326.0, 226.1,  26.2,  22.2
1934, 4,27,.403,  107802,00, 0,    1,    3,    1,    2, 0.224, 283.2, 216.5,  -1.3,  12.6
1934, 4,28,.337,   11573,02, 5,   19,  115,   88,  527, 0.994, 241.4, 276.8, -28.9,  85.2
1934, 4,28,.337,   11574,02, 4,    2,   19,    2,   14, 0.709, 313.8, 226.3,  25.9,  34.7
1934, 4,29,.386,   11574,02, 4,    5,    7,    5,    7, 0.821, 304.0, 226.2,  24.6,  48.5
1934, 5, 1,.482,   11574,02, 4,    5,    8,   12,   21, 0.976, 297.5, 223.9,  25.7,  73.9
1934, 5, 4,.374,   11575,02, 6,   15,   41,    9,   24, 0.497, 127.7,  86.9, -21.0, -24.9
1934, 5, 5,.360,   11575,02, 6,   41,  203,   22,  108, 0.341, 151.6,  88.7, -20.9, -10.0
1934, 5, 6,.406,   11575,02, 6,   78,  376,   41,  198, 0.310, 196.5,  90.3, -20.7,   5.4
1934, 5, 7,.586,   11575,02, 6,   65,  326,   37,  184, 0.460, 228.5,  90.9, -20.8,  21.6
1934, 5, 7,.586,   11576,05, 9,    6,   29,    7,   31, 0.875, 233.7, 126.5, -33.0,  57.2
1934, 5, 8,.422,   11575,02, 6,   63,  315,   40,  199, 0.607, 238.8,  92.1, -21.0,  33.8
1934, 5, 8,.422,   11576,05, 9,    1,    3,    3,    6, 0.945, 237.0, 127.7, -32.1,  69.4
1934, 5, 8,.422,   11577,02, 0,    8,   51,    5,   30, 0.520,  72.4,  28.4,   6.3, -29.9
1934, 5, 9,.354,   11575,02, 6,   82,  350,   63,  267, 0.753, 244.3,  92.6, -21.2,  46.7
1934, 5, 9,.354,   11577,02, 0,   13,   39,    7,   21, 0.325,  61.7,  29.2,   5.9, -16.7
1934, 5,10,.356,   11575,02, 6,   29,  147,   32,  159, 0.885, 247.7,  94.0, -21.1,  61.3
1934, 5,11,.350,   11575,02, 6,   18,   75,   34,  137, 0.960, 249.4,  93.2, -20.6,  73.7
1934, 5,12,.470,   11575,02, 6,    4,   11,   17,   42, 0.990, 249.1,  87.2, -21.1,  82.5
1934, 5,13,.349,   11578,02, 0,   34,  325,  101,  944, 0.985, 120.5, 273.0, -30.5, -80.1
1934, 5,14,.341,   11578,02, 0,   61,  544,   91,  805, 0.940, 121.9, 271.8, -30.7, -68.2
1934, 5,14,.341,  107901,00, 0,    2,    7,    2,    6, 0.787, 127.1, 293.4, -30.1, -46.5
1934, 5,15,.356,   11578,02, 0,  152,  859,  148,  837, 0.857, 125.2, 271.8, -31.0, -54.8
1934, 5,16,.467,   11578,02, 0,  177, 1018,  135,  774, 0.753, 131.0, 270.2, -31.3, -41.7
1934, 5,16,.467,   11579,02, 3,    1,   15,   11,   85, 0.996,  64.2, 229.0,  25.4, -82.9
1934, 5,16,.467,  107902,00, 0,    5,    8,    3,    5, 0.453, 204.9, 324.1, -26.5,  12.3
1934, 5,17,.349,   11578,02, 0,  264, 1260,  176,  839, 0.660, 138.2, 269.2, -31.3, -31.0
1934, 5,17,.349,   11579,02, 3,   30,  181,   77,  457, 0.978,  61.9, 224.8,  26.9, -75.4
1934, 5,18,.502,   11578,02, 0,  204, 1162,  121,  688, 0.535, 154.8, 269.5, -30.9, -15.4
1934, 5,18,.502,   11579,02, 3,   39,  285,   48,  344, 0.908,  59.2, 224.1,  26.7, -60.8
1934, 5,19,.353,   11578,02, 0,  177,  972,  102,  558, 0.491, 171.9, 269.1, -31.0,  -4.6
1934, 5,19,.353,   11579,02, 3,   75,  319,   67,  285, 0.825,  55.8, 224.1,  26.4, -49.6
1934, 5,20,.133,   11578,02, 1,  119,  761,   69,  439, 0.497, 189.3, 268.8, -31.2,   5.4
1934, 5,20,.133,   11579,02, 3,   67,  373,   50,  277, 0.734,  50.6, 224.1,  26.4, -39.3
1934, 5,21,.417,   11578,02, 1,   80,  395,   49,  240, 0.566, 213.7, 267.6, -29.7,  21.2
1934, 5,21,.417,   11579,02, 1,   58,  327,   36,  200, 0.570,  35.4, 224.8,  26.1, -21.6
1934, 5,22,.469,   11578,02, 1,   47,  274,   32,  187, 0.678, 225.3, 266.2, -29.8,  33.7
